bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1353903,1653,HB2956,1,Introduced,2020-03-02,"Providing funding for the unfunded liabilities in the teachers&#x27; retirement system and the public employees&#x27; retirement system plans 1.","Providing funding for the unfunded liabilities in the teachers&#x27; retirement system and the public employees&#x27; retirement system plans 1.",2759,"House Appropriations",2020-03-02,"First reading, referred to Appropriations.",https://legiscan.com/WA/bill/HB2956/2019,https://app.leg.wa.gov/billsummary?BillNumber=2956&Year=2019&Initiative=false
1353912,1653,HB2957,1,Introduced,2020-03-02,"Reducing greenhouse gas emissions by providing authority for the regulation of indirect sources under the clean air act and implementing standards and programs that reduce emissions associated with buildings.","Reducing greenhouse gas emissions by providing authority for the regulation of indirect sources under the clean air act and implementing standards and programs that reduce emissions associated with buildings.",943,"House Rules",2020-03-03,"Referred to Rules 2 Review.",https://legiscan.com/WA/bill/HB2957/2019,https://app.leg.wa.gov/billsummary?BillNumber=2957&Year=2019&Initiative=false
1353884,1653,HB2958,1,Introduced,2020-03-02,"Preventing the curtailment of employment opportunities by allowing employers to pay a training wage for a specified period of time.","Preventing the curtailment of employment opportunities by allowing employers to pay a training wage for a specified period of time.",3417,"House Labor & Workplace Standards",2020-03-02,"First reading, referred to Labor & Workplace Standards.",https://legiscan.com/WA/bill/HB2958/2019,https://app.leg.wa.gov/billsummary?BillNumber=2958&Year=2019&Initiative=false
1353865,1653,HB2959,1,Introduced,2020-03-02,"Requiring the reporting of paid claims by covered entities to the office of the insurance commissioner.","Requiring the reporting of paid claims by covered entities to the office of the insurance commissioner.",937,"House Health Care and Wellness",2020-03-02,"First reading, referred to Health Care & Wellness.",https://legiscan.com/WA/bill/HB2959/2019,https://app.leg.wa.gov/billsummary?BillNumber=2959&Year=2019&Initiative=false
1353894,1653,HB2960,1,Introduced,2020-03-02,"Eliminating the state property tax levies over four years.","Eliminating the state property tax levies over four years.",933,"House Finance",2020-03-02,"First reading, referred to Finance.",https://legiscan.com/WA/bill/HB2960/2019,https://app.leg.wa.gov/billsummary?BillNumber=2960&Year=2019&Initiative=false
1353854,1653,HB2961,1,Introduced,2020-03-02,"Excusing breastfeeding mothers from jury service.","Excusing breastfeeding mothers from jury service.",3813,"House Civil Rights & Judiciary",2020-03-02,"First reading, referred to Civil Rights & Judiciary.",https://legiscan.com/WA/bill/HB2961/2019,https://app.leg.wa.gov/billsummary?BillNumber=2961&Year=2019&Initiative=false
1353876,1653,HB2962,1,Introduced,2020-03-02,"Broadening the eligibility requirements and extending the expiration date for the data center tax incentive.","Broadening the eligibility requirements and extending the expiration date for the data center tax incentive.",933,"House Finance",2020-03-02,"Public hearing and executive session scheduled, but no action was taken in the House Committee on Finance at 8:00 AM.",https://legiscan.com/WA/bill/HB2962/2019,https://app.leg.wa.gov/billsummary?BillNumber=2962&Year=2019&Initiative=false
1354165,1653,HB2963,1,Introduced,2020-03-02,"Concerning voting rights in public utility district elections.","Concerning voting rights in public utility district elections.",3819,"House State Government & Tribal Relations",2020-03-02,"First reading, referred to State Government & Tribal Relations",https://legiscan.com/WA/bill/HB2963/2019,https://app.leg.wa.gov/billsummary?BillNumber=2963&Year=2019&Initiative=false
1354275,1653,HB2964,1,Introduced,2020-03-02,"Concerning local effort assistance.","Concerning local effort assistance.",2759,"House Appropriations",2020-03-02,"First reading, referred to Appropriations",https://legiscan.com/WA/bill/HB2964/2019,https://app.leg.wa.gov/billsummary?BillNumber=2964&Year=2019&Initiative=false
1354219,1653,HB2965,4,Passed,2020-03-17,"Concerning the state&#x27;s response to the novel coronavirus.","Concerning the state&#x27;s response to the novel coronavirus.",0,,2020-03-17,"Effective date 3/17/2020.",https://legiscan.com/WA/bill/HB2965/2019,https://app.leg.wa.gov/billsummary?BillNumber=2965&Year=2019&Initiative=false
