0,1,2
HB2529,1516,Introduced
HB2532,1516,Introduced
HB2541,1516,Passed
HB2549,1516,Introduced
HB2550,1516,Introduced
HB2555,1516,Introduced
HB2559,1516,Introduced
HB2561,1516,Introduced
HB2564,1516,Introduced
HB2565,1516,Passed
HB2567,1516,Introduced
HB2568,1516,Introduced
HB2570,1516,Introduced
HB2573,1516,Engrossed
HB2575,1516,Engrossed
HB2576,1516,Introduced
HB2587,1516,Passed
HB2588,1516,Introduced
HB2591,1516,Passed
HB2592,1516,Introduced
HB2595,1516,Introduced
HB2597,1516,Passed
HB2607,1516,Introduced
HB2614,1516,Introduced
HB2619,1516,Engrossed
HB2620,1516,Introduced
HB2621,1516,Engrossed
HB2624,1516,Passed
HB2625,1516,Introduced
HB2633,1516,Introduced
HB2638,1516,Introduced
HB2639,1516,Engrossed
HB2640,1516,Introduced
HB2645,1516,Introduced
HB2646,1516,Introduced
HB2652,1516,Introduced
HB2653,1516,Introduced
HB2656,1516,Introduced
HB2661,1516,Introduced
HB2662,1516,Introduced
HB2666,1516,Introduced
HB2667,1516,Passed
HB2668,1516,Introduced
HB2669,1516,Introduced
HB2673,1516,Introduced
HB2676,1516,Introduced
HB2679,1516,Engrossed
HB2680,1516,Introduced
HB2688,1516,Introduced
HB2696,1516,Introduced
HB2701,1516,Introduced
HB2702,1516,Introduced
HB2703,1516,Introduced
HB2708,1516,Engrossed
HB2710,1516,Introduced
HB2711,1516,Passed
HB2712,1516,Introduced
HB2713,1516,Introduced
HB2716,1516,Engrossed
HB2719,1516,Introduced
HB2720,1516,Introduced
HB2722,1516,Introduced
HB2734,1516,Introduced
HB2737,1516,Introduced
HB2740,1516,Introduced
HB2742,1516,Introduced
HB2744,1516,Introduced
HB2746,1516,Passed
HB2748,1516,Introduced
HB2750,1516,Introduced
HB2751,1516,Introduced
HB2757,1516,Introduced
HB2758,1516,Introduced
HB2763,1516,Introduced
HB2768,1516,Passed
HB2773,1516,Passed
HB2777,1516,Introduced
HB2779,1516,Introduced
HB2780,1516,Introduced
HB2781,1516,Passed
HB2782,1516,Introduced
HB2784,1516,Introduced
HB2786,1516,Introduced
HB2787,1516,Introduced
HB2793,1516,Passed
HB2796,1516,Introduced
HB2797,1516,Introduced
HB2803,1516,Introduced
HB2804,1516,Engrossed
HB2815,1516,Passed
HB2816,1516,Introduced
HB2817,1516,Introduced
HB2821,1516,Introduced
HB2822,1516,Introduced
HB2825,1516,Engrossed
HB2828,1516,Introduced
HB2832,1516,Introduced
HB2836,1516,Introduced
HB2850,1516,Introduced
HB2852,1516,Passed
HB2856,1516,Passed
HB2862,1516,Introduced
HB2870,1516,Introduced
HB2890,1516,Introduced
HB2892,1516,Introduced
HB2895,1516,Engrossed
HB2900,1516,Passed
HB2903,1516,Introduced
HB2905,1516,Introduced
HB2907,1516,Introduced
HB2915,1516,Introduced
HB2929,1516,Engrossed
HB2931,1516,Introduced
HB2938,1516,Passed
HB2944,1516,Introduced
HB2945,1516,Introduced
HB2948,1516,Introduced
HB2957,1516,Introduced
HB2963,1516,Introduced
HB2967,1516,Introduced
HB2970,1516,Engrossed
HB2995,1516,Introduced
HB2997,1516,Introduced
HB3003,1516,Introduced
SB5000,1516,Introduced
SB5001,1516,Engrossed
SB5002,1516,Introduced
SB5003,1516,Introduced
SB5004,1516,Passed
SB5005,1516,Introduced
SB5006,1516,Introduced
SB5008,1516,Introduced
SB5009,1516,Introduced
SB5010,1516,Introduced
SB5011,1516,Passed
SB5012,1516,Engrossed
SB5013,1516,Introduced
SB5014,1516,Engrossed
SB5015,1516,Passed
SB5016,1516,Introduced
SB5018,1516,Engrossed
SB5019,1516,Introduced
SB5020,1516,Engrossed
SB5021,1516,Introduced
SB5022,1516,Engrossed
SB5024,1516,Passed
SB5025,1516,Engrossed
SB5026,1516,Introduced
SB5027,1516,Passed
SB5028,1516,Engrossed
SB5029,1516,Passed
SB5030,1516,Passed
SB5032,1516,Passed
SB5033,1516,Introduced
SB5034,1516,Introduced
SB5036,1516,Introduced
SB5037,1516,Engrossed
SB5038,1516,Introduced
SB5039,1516,Introduced
SB5040,1516,Introduced
SB5042,1516,Introduced
SB5043,1516,Introduced
SB5044,1516,Introduced
SB5045,1516,Introduced
SB5046,1516,Passed
SB5047,1516,Introduced
SB5048,1516,Passed
SB5049,1516,Introduced
SB5050,1516,Introduced
SB5051,1516,Introduced
SB5052,1516,Passed
SB5054,1516,Introduced
SB5056,1516,Introduced
SB5057,1516,Engrossed
SB5059,1516,Passed
SB5060,1516,Introduced
SB5061,1516,Introduced
SB5062,1516,Introduced
SB5063,1516,Introduced
SB5064,1516,Engrossed
SB5065,1516,Introduced
SB5066,1516,Engrossed
SB5068,1516,Introduced
SB5069,1516,Introduced
SB5070,1516,Passed
SB5073,1516,Engrossed
SB5074,1516,Engrossed
SB5075,1516,Passed
SB5076,1516,Introduced
SB5078,1516,Introduced
SB5080,1516,Introduced
SB5082,1516,Introduced
SB5083,1516,Passed
SB5085,1516,Passed
SB5086,1516,Introduced
SB5087,1516,Introduced
SB5088,1516,Passed
SB5090,1516,Introduced
SB5091,1516,Engrossed
SB5092,1516,Introduced
SB5093,1516,Engrossed
SB5094,1516,Engrossed
SB5095,1516,Introduced
SB5096,1516,Introduced
SB5097,1516,Introduced
SB5098,1516,Introduced
SB5101,1516,Passed
SB5102,1516,Introduced
SB5103,1516,Introduced
SB5104,1516,Passed
SB5106,1516,Engrossed
SB5107,1516,Passed
SB5108,1516,Introduced
SB5109,1516,Passed
SB5110,1516,Introduced
SB5111,1516,Engrossed
SB5112,1516,Engrossed
SB5114,1516,Introduced
SB5115,1516,Introduced
SB5116,1516,Introduced
SB5117,1516,Introduced
SB5120,1516,Passed
SB5122,1516,Passed
SB5123,1516,Introduced
SB5125,1516,Passed
SB5126,1516,Introduced
SB5127,1516,Engrossed
SB5128,1516,Introduced
SB5129,1516,Introduced
SB5130,1516,Introduced
SB5131,1516,Introduced
SB5132,1516,Introduced
SB5133,1516,Engrossed
SB5134,1516,Introduced
SB5137,1516,Engrossed
SB5138,1516,Engrossed
SB5139,1516,Passed
SB5140,1516,Introduced
SB5141,1516,Introduced
SB5142,1516,Engrossed
SB5143,1516,Passed
SB5144,1516,Passed
SB5145,1516,Passed
SB5146,1516,Engrossed
SB5148,1516,Introduced
SB5149,1516,Introduced
SB5150,1516,Introduced
SB5153,1516,Engrossed
SB5154,1516,Passed
